protein,interactors
PSMD3,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD10,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMC3,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 VHL PSMD13 BACH1 PSMD10 PSMD2 PSMD6 KLF10 HIF1A TGFBI PSMC5 PSMB6 PSMD3 PSMB3 ERCC3 PSMC4 GJB6 PSMD1 PSMA7 MXI1 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 SMAD9 PSMC6 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMC2,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5
PSMC4,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD8,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD7,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD4,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMC1,PSMB1 PSME1 PSMD14 PSMB7 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMC5,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 NLRC4 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 CASP8 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
