protein,interactors
SMN1,SF3A1 SNUPN SFSWAP SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A SF1 ZPR1 RUVBL1 SRSF4 SNRNP70 CLNS1A GEMIN4 SNRNP40 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 TIMM50 SF3B1 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 LGALS1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SRSF2 SMARCA2 NUDT21 SNRPD2 GEMIN5 HNRNPA0 DDX23 RBMXL2 ACTBL2 PRPF31 SNRNP200 SNRPB ARID2 SART1 HNRNPU GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX GEMIN7 HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 HNRNPC U2AF2 SRSF11 SMARCE1 CHERP YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SRSF5 SNRPG HNRNPA2B1 PPIH HNRNPK NCBP2 SRRT PRPF8 SMARCA1 SRSF3 SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 KPNB1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 U2SURP DDX17 LGALS3
SMN2,SF3A1 SNUPN SFSWAP SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A SF1 ZPR1 RUVBL1 SRSF4 SNRNP70 CLNS1A GEMIN4 SNRNP40 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 TIMM50 SF3B1 DDX20 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 LGALS1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SRSF2 SMARCA2 NUDT21 SNRPD2 GEMIN5 HNRNPA0 DDX23 RBMXL2 ACTBL2 PRPF31 SNRNP200 SNRPB ARID2 SART1 HNRNPU GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX GEMIN7 HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 HNRNPC U2AF2 SRSF11 SMARCE1 CHERP YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SRSF5 SNRPG HNRNPA2B1 PPIH HNRNPK NCBP2 SRRT PRPF8 SMARCA1 SRSF3 SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 KPNB1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP DDX17 LGALS3
DDX20,SF3A1 SFSWAP SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A SF1 RUVBL1 SRSF4 SNRNP70 SNRPN CLNS1A GEMIN4 SNRNP40 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 SNRPE SMARCC1 PUF60 SNRPB2 CPSF1 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL PPP4R2 DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 SF3B1 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 GTF2B SRSF2 SMARCA2 NUDT21 SNRPD2 GEMIN5 HNRNPA0 DDX23 RBMXL2 ACTBL2 PRPF31 POLR2A SNRNP200 SNRPB ARID2 SART1 HNRNPU PPP4C GEMIN6 CHD8 TBP DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX GEMIN7 HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 HNRNPC U2AF2 SRSF11 SMARCE1 CHERP YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SRSF5 HNRNPA2B1 PPIH HNRNPK NCBP2 SRRT PRPF8 SMARCA1 SRSF3 SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP DDX17 SNRPG
CDH5,PECAM1 PARD3 FLT4 CTNNB1 PARD6A TJP1 KDR
PARD3,INSC HOOK2 PRKCI CTNNB1 KIF3B PARD6A CDH5 PLCB3 GPSM2 PARD6B PALS1 PLCB1 ARHGAP17 KIF3A
STIM1,TRPV4 ORAI1 TRPC1
ORAI1,STIM1 TRPC1
PARD6A,PARD3B HOOK2 PARD3 TGFBR2 PRKCI TGFBR1 KIF3B CDH5 PLCB3 PALS1 PLCB1 KIF3A
MYBL2,LIN54 RBBP4 RBL1 LIN37 LIN9 LIN52
LIN9,LIN54 RBBP4 TFDP1 RBL1 LIN37 MYBL2 E2F4 LIN52 RBL2
SERPINA5,KLK3 SCG2
KLK3,SERPINA5 SERPINA1 SCG2
SCG2,SERPINA5 KLK3
CAPZB,CAPZA3 WASHC2C AMOT ARHGEF2 ARHGEF1 NEDD4 WASHC3 FKBP15 WASHC2A PI4K2A PALS1 ARHGAP17 DOCK7 AP3B1 CLTC WASHC5 WASHC4 PATJ CD2AP CAPZA1 DNM2 SH3KBP1 WASH1
CAPZA1,CAPZB WASHC2C AMOT ARHGEF2 ARHGEF1 NEDD4 WASHC3 FKBP15 WASHC2A PI4K2A PALS1 ARHGAP17 DOCK7 AP3B1 CLTC WASHC5 WASHC4 PATJ CD2AP DNM2 SH3KBP1 WASH1
AMOT,CAPZB CDH11 NF2 CTNNB1 MPP7 CTNND1 AMOTL2 PALS1 ARHGAP17 PATJ CD2AP AMOTL1 MPDZ CAPZA1 SH3KBP1
ARHGAP17,CAPZB PARD3 PATJ AMOT CD2AP PRKCI AMOTL1 MPDZ CAPZA1 MPP7 AMOTL2 PALS1 SH3KBP1
SH3KBP1,CAPZB BLNK AMOT CRK GRB2 SH3GL3 PALS1 ARHGAP17 MET SOS1 EGFR BCAR1 PATJ PIK3R1 CD2AP SH3GL2 CBLB CAPZA1 MAGI2 CBL DDN MUC1
CD2AP,CAPZB PATJ AMOT CAPZA1 PALS1 SH3KBP1 ARHGAP17
PRKCI,PARD3B HOOK2 PARD3 SQSTM1 LLGL2 KIF3B PARD6A LLGL1 PARD6B MAP2K5 ARHGAP17 KIF3A
MPDZ,PATJ AMOT AMOTL1 MPP7 AMOTL2 PALS1 ARHGAP17
MPP7,PATJ AMOT AMOTL1 MPDZ LIN7C LIN7A DLG1 AMOTL2 PALS1 ARHGAP17
AMOTL1,PATJ AMOT MPDZ MPP7 AMOTL2 PALS1 ARHGAP17
AMOTL2,PATJ AMOT AMOTL1 MPDZ MPP7 PALS1 ARHGAP17
DNMT1,SMARCA5 RB1 UHRF1 CTNNB1 USP7 TRIM28 KAT5 DAXX EHMT2 ZNF304 RBL2 E2F1 RGS6 PCNA HDAC1 BAZ2A SETDB1 E2F5 SUV39H1 E2F4 DMAP1 DNMT3B
BRCA2,HDAC2 HMG20B BRCC3 FANCG BABAM2 RAD51 INTS5 SAC3D1 RCOR1 BARD1 FANCD2 INTS7 BRCA1 INTS9 INTS6 INTS4 INTS8 INTS11 RAD51C XRCC3 LENG8 PHF21A HDAC1 KDM1A SEM1 PALB2 INTS10 INTS2
SNAP29,STX1A
VAMP4,STX16 VAMP8 VAMP3 VTI1B VTI1A STX6
VAMP3,STX4 STX16 SNAP23 VAMP8 VTI1A STX6 VAMP4
VAMP8,STX4 SNAP23 VAMP4 STX6 VAMP3
STX16,VAMP3 VTI1B VTI1A STX6 VAMP4
VTI1A,STX16 VAMP3 VTI1B STX6 VAMP4
VTI1B,STX16 VTI1A STX6 VAMP4
ADRB1,CXCR4 PRKAR2A AKAP5 PRKAR2B DLG1
RET,SHC3 ARTN GFRA3
SHC3,GAB1 RET
GAB1,SHC3
KIF3B,KIF3A PARD3 PRKCI PARD6A
KIF3A,AP3S1 PARD3 AP3D1 PRKCI KIF3B PARD6A RAB4A RBSN
FGFR1,KLB ITGB3 ANOS1 FGF1 FGF21
ANOS1,FGFR1
CECR2,SMARCA1
RSF1,SMARCA5 NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 H4C8 H4C5 SMARCA1 H4C1 HJURP DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 H4C3 CENPO SHCBP1 CENPH CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16 CENPA
TOP2A,RBMX RPA1 PRKDC SNRPD2 HSPA8 SNRPA1 SCAF8 PPP1CA SNRPD1 POLE POLD3 RFC1 LMNA PRIM1 PPM1D CTCF PRPF8 PARP1 POLA1 CWC15 POLA2 POLD4 SRRM1 SF3B1 SF3B4 SSRP1 SFI1 DHX9 H2AC18 BCAS2 DYNC1H1 SRSF1 SF3B2 GCN1 PRIM2 SNRPA POLD2 PRPF19 SRPK1 POLE2 HNRNPC BZW1 PCNA TCF4 SFPQ KPNA3 DDX21 POLD1 ILF2 H2AZ1 KPNA1 SNRPD3 H2AC19 POLE4 CDC5L PLRG1 TOP1 NPM1 POLE3 SRSF2
DHX9,SFSWAP RPS2 PRKDC SNRPA1 RBM10 TOP2A SMARCA4 SNRPD1 PBRM1 ZC3H18 HNRNPA3 RPL36 SRRM1 GEMIN4 RPS3A LSM4 DDX42 HNRNPH1 ILF2 NOP58 RPS17 PUF60 SMARCC1 DDX5 RPL31 NRIP2 ARID1B CD2BP2 RPL21 LUC7L2 EBNA1BP2 SMNDC1 RPS29 PCBP2 EFTUD2 RBM17 RNPS1 HNRNPL DDX39A H2AX U2AF1 PRPF6 SART3 RPL6 SF3B1 DDX20 SMN2 SRSF9 SF3B4 RBM39 RPL18 PCBP1 DNAJC8 CPSF6 SMARCC2 SRSF1 PWP1 SF3B3 GEMIN8 HNRNPM ZCCHC8 SAP30BP SNRPD3 GNL3 NUDT21 SNRPD2 HNRNPA0 DDX23 RPL10A RBM28 ACTBL2 RPL23 SEC31B PYCARD LYAR SART1 RPL28 GEMIN6 CHD8 TRA2B TBP SRSF7 PHF5A MTREX HNRNPF ACIN1 HNRNPC FBL RPL18A SRSF11 SMARCE1 PRCC CDK11A YBX1 SYNCRIP PPP1R8 H1-10 MYBBP1A RPL13A SNRPF RPL11 ACTG2 TUBA1A PRPF8 RSL1D1 SRSF3 NOP56 SREK1 SNRPC KHSRP RPS13 SRSF6 HNRNPA1 SF3B2 BUB3 RPL17 CHD4 TCOF1 RPLP2 RPL5 RPL15 RBM7 SF3A2 STAU1 RPS18 RPL7 IGF2BP1 TOP1 SNRPG HDLBP SF3A1 RBMX SRP14 XRCC5 STRAP RPL9P8 RPS16 ACTL6A SF1 RUVBL1 SRSF4 SUGP1 SNRNP70 RPS9 SNRPN SNRNP40 SSRP1 ELAVL1 STAT6 RPL13 CPSF7 HNRNPUL1 PRPF3 RPL19 DGCR8 SNRPE RPL30 CIRBP SNRPB2 RPS8 ZNF207 CPSF1 RPL7A SNU13 LUC7L3 NCBP1 PPP1CA PRPF4 HSPA5 HNRNPAB DDX39B SF3A3 RPLP0 RPS24 WBP11 RPL23A TCERG1 CWC15 RPS11 RPL29 BCAS2 SRRM2 RPL12 SNRPA SRPK1 NAP1L1 RPS15 TUFM RPS15A BRIX1 FLJ10154 CCAR2 RUVBL2 NPM1 GTF2B SRSF2 SMARCA2 RPS23 TRIR GEMIN5 RPS7 ACTA2 RPS12 RPL27 RBMXL2 RPL4 CTNNBL1 RPL8 RPL14 RPL27A PRPF31 POLR2A SNRNP200 RPL35 SNRPB ARID2 CCAR1 HNRNPU RPL32 DHX15 ARID1A SCAF4 SND1 HTATSF1 CFAP20 DDX46 GEMIN2 RBM42 SCYL2 RPLP1 U2AF2 DDX21 RPL24 RPL39 NOLC1 SLC25A5 RPL9P7 CHERP RPL22 CDC5L ADAR PNN NCL RPL26 PRPF40A HSPA8 RPL37A ALYREF RPL36A EEF2 SRSF5 RPS14 RPL3 XRCC6 HNRNPA2B1 HNRNPK PPIH RPS6 NCBP2 H2BC14 PQBP1 RPL10 SRRT ILF3 EEF1A1 SMARCA1 H1-3 AGGF1 RPL35A FUS HNRNPD RPL9P9 USP39 HNRNPR SMARCB1 PRPF19 SF3B5 SF3B6 RBM5 SRSF8 SMARCD1 SMN1 U2SURP TUBB1 DDX17 PLRG1 RPL9 RBM25 NLRP9
SSRP1,SMARCA5 H4C12 CSNK2A1 TOP2A CENPB ZFP91 EIF3L H4C14 H2BC3 SUPT16H ZC3H13 H2AC1 H4C5 H4C1 RSF1 H2BU1 KIF23 WDR11 H4C3 CENPO CENPH CENPU SSB CBX8 CENPN COBLL1 H4C4 HNRNPC DDX21 FBL CENPL CENPM DHX38 CENPI H4-16 NUP93 H4C6 HSPA8 CALM1 H4C9 HSPA5 NEK9 RACGAP1 H2AX CENPT SRRT PLPPR3 PRPF8 H4C8 HJURP DDB1 CALR CSNK2B RNF2 DHX9 WTAP CENPC SHCBP1 PABPC1 H4C11 HNRNPR H4C2 CSNK2A2 H4C15 SRPK1 RING1 BMI1 VIRMA CUL4A CBX3 NPM1 H4C13 CENPK CENPA
SRPK1,RPS2 SRP14 TOP2A TARDBP RPL9P8 RPS16 RPL36 EWSR1 RPS9 SSRP1 DROSHA RPS3A RPL13 HNRNPDL HNRNPUL1 HNRNPH1 ILF2 RPL19 NOP58 DGCR8 RPL30 RPS17 DDX5 RPS8 RPL31 RPL7A SNU13 RPL21 LUC7L2 EBNA1BP2 RPS29 RALY U2AF1 RPLP0 RPS24 GSK3B RPL23A RPL6 RPS11 RPL18 DHX9 RPL29 DDX1 RPL12 PWP1 NAP1L1 HNRNPM RPS15 TUFM RPS15A BRIX1 NPM1 GNL3 RPS23 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL23 RPL8 RPL14 RPL27A RPL35 LYAR HNRNPU RPL28 RPL32 DDX3X DHX15 TAF15 SCYL2 HNRNPC RPLP1 U2AF2 DDX21 FBL TOP1 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL22 YBX1 NCL H1-10 RPL26 RPL13A MYBBP1A RPL37A RPL36A EEF2 RPL11 RPS14 RPL3 ACTG2 RPS6 H2BC14 RPL10 ILF3 TUBA1A PRPF8 EEF1A1 RSL1D1 H1-3 NOP56 RPL35A RPS13 FUS HNRNPA1 RPL9P9 RPL17 TCOF1 RPLP2 RPL5 RPL15 WNK1 RPS18 TUBB1 DDX17 RPL7 IGF2BP1 RPL9
DDX21,GNL3 RPS23 SMARCA5 RPS2 SRP14 TOP2A RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 LYAR RPL36 ERCC6 HNRNPU RPS9 RPL28 RPL32 SSRP1 SPEF2 RPS3A RPL13 SCYL2 HNRNPC RPLP1 U2AF2 ILF2 FBL RPL19 NOP58 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 BAZ1B RPL30 TOP1 RPS17 RPL22 RPS8 MYO1C RPL31 YBX1 RPL7A NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 PRPF8 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 SF3B1 RPS11 NOP56 RPL35A RPL18 DHX9 RPS13 RPL29 HNRNPA1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 RPS18 DEK TUBB1 NPM1 RPL7 RPL9 IGF2BP1
SCRIB,VANGL1 PAK1 SHOC2 LLGL2 GIT1 ARHGEF7 APC MRAS NOS1AP VANGL2
LLGL2,SCRIB PRKCI PARD6B
CENPB,SMARCA5 ITGB3BP NUP93 H4C12 H4C6 HSPA8 H4C9 H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 CENPS H4C8 H4C5 H4C1 RSF1 HJURP DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 H4C3 CENPO CENPH SHCBP1 CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 CENPM BMI1 VIRMA CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16 CENPA
CENPC,SMARCA5 ITGB3BP NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 CENPS H4C8 H4C5 H4C1 RSF1 HJURP DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPQ WDR11 H4C3 CENPO CENPH SHCBP1 CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 CENPM BMI1 VIRMA CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16 CENPA
CENPU,SMARCA5 ITGB3BP NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT CENPS RSF1 DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 CENPO CENPH SHCBP1 CBX8 CENPN COBLL1 FBL CENPL RING1 CENPM BMI1 VIRMA CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
CENPT,ITGB3BP CENPW H4C12 H4C6 STRA13 H4C9 CENPB H4C14 H2BC3 SUPT16H H2AC1 CENPS H4C8 H4C5 H4C1 HJURP RSF1 CENPP SSRP1 CENPQ CENPC H4C3 CENPO CENPH CENPU H4C11 H4C2 CENPN H4C15 H4C4 CENPL CENPM H4C13 CENPI CENPK H4-16 CENPA
CENPN,ITGB3BP H4C12 H4C6 H4C9 CENPB H4C14 H2BC3 SUPT16H CENPT H2AC1 CENPS H4C8 H4C5 H4C1 HJURP RSF1 CENPP SSRP1 CENPQ CENPC H4C3 CENPO CENPH CENPU H4C11 H4C2 H4C15 H4C4 CENPL CENPM H4C13 CENPI CENPK H4-16 CENPA
CENPH,SMARCA5 ITGB3BP NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 CENPS H4C8 H4C5 H4C1 RSF1 HJURP DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 H4C3 CENPO SHCBP1 CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 CENPM BMI1 VIRMA CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16 CENPA
CENPM,SMARCA5 ITGB3BP NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT CENPS RSF1 DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 CENPO CENPH SHCBP1 CENPU CBX8 CENPN COBLL1 FBL CENPL RING1 BMI1 VIRMA CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
VANGL2,SCRIB RAC1 RHOA
HSPA5,HDAC2 SMARCA5 H4C12 WDR5 PFKL DDX23 SEL1L MATR3 CENPB ZFP91 EIF3L H4C14 H2BC3 SUPT16H RBBP4 AUP1 HDAC1 SNRNP200 OGT ZC3H13 OS9 PARP1 H4C5 H4C1 RSF1 H2BU1 HSP90B1 HNRNPU HSPA4 KIF23 RBBP7 SSRP1 WDR11 H4C3 DHX30 CENPO CENPH SIN3A CENPU SYVN1 DERL2 SSB CBX8 HSP90AA1 ASH2L SIN3B COBLL1 H4C4 HNRNPH1 SFPQ FBL CENPL CENPM SUDS3 DGCR8 DHX38 CDC5L TUBB SETD1A BSG CENPI DDX5 H4-16 NUP93 NCL H4C6 HSPA8 CALM1 SP1 H4C9 EFTUD2 UBE2J1 ERLEC1 MSH2 HCFC1 PTCD3 H2BC14 RACGAP1 H2AX UBR5 SRRT PLPPR3 ILF3 EEF1A1 H4C8 PRPF8 DDB1 CALR SNW1 SAP30 RNF2 WTAP CENPC DHX9 FUS SHCBP1 ERLIN2 PABPC1 H4C11 FAM8A1 FAF2 HNRNPR H4C2 YBX3 EEF1G H4C15 ABCF2 RING1 BMI1 VIRMA CUL4A DDX17 CBX3 NPM1 H4C13 CENPK CENPA
FBL,IKBKG RPS2 SRP14 CENPB RPL9P8 RPS16 SUPT16H RPL36 KIF23 RPS9 SSRP1 WDR11 CENPO HSP90AB1 CENPU CBX8 RPS3A RPL13 PRMT5 ILF2 CENPL RPL19 NOP58 DHX38 RPL30 RPS17 CENPI RPS8 RPL31 CHUK RPL7A CDC37 SNU13 RPL21 LUC7L2 EBNA1BP2 RPS29 RPL9 HSPA5 RACGAP1 U2AF1 RPLP0 PLPPR3 RPS24 RPL23A RPL6 DDB1 RPS11 RPL18 DHX9 RPL29 SHCBP1 RPL12 PWP1 SRPK1 NAP1L1 HNRNPM RPS15 TUFM RPS15A BRIX1 CBX3 NPM1 CENPK GNL3 RPS23 SMARCA5 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL23 RPL8 RPL14 RPL27A ZC3H13 RPL35 LYAR RSF1 HNRNPU RPL28 RPL32 CENPH HSP90AA1 COBLL1 PRMT1 SCYL2 RPLP1 U2AF2 DDX21 TOP1 CENPM RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL22 YBX1 NUP93 NCL H1-10 RPL26 HSPA8 RPL13A MYBBP1A RPL37A RPL36A EEF2 RPL11 RPS14 RPL3 ACTG2 RPS6 H2BC14 RPL10 MAP3K14 SRRT TUBA1A ILF3 EEF1A1 RSL1D1 H1-3 NOP56 RPL35A RNF2 WTAP CENPC RPS13 HNRNPA1 RPL9P9 RPL17 IKBKB TCOF1 RPLP2 RPL5 RPL15 RING1 BMI1 VIRMA C1QBP CUL4A RPS18 TUBB1 RPL7 IGF2BP1 ZFP91 CENPA
CENPA,SMARCA5 NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 H4C8 H4C5 H4C1 RSF1 HJURP DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 H4C3 CENPO SHCBP1 CENPH CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16
KIF23,SMARCA5 KIF14 NUP93 HSPA8 KIF4A CENPB HSPA5 SUPT16H RACGAP1 ZC3H13 PLPPR3 SRRT ECT2 RSF1 DDB1 KIF20A SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 COBLL1 PRC1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
CBX3,HDAC2 SMARCA5 NUP93 HSPA8 WDR5 CENPB HSPA5 TFDP1 SUPT16H RACGAP1 HDAC1 ZC3H13 PLPPR3 SRRT RSF1 MGA L3MBTL2 DDB1 EHMT2 KIF23 SSRP1 MAX RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU NR3C1 CBX8 PCGF6 YAF2 COBLL1 EHMT1 FBL CENPL RING1 BMI1 VIRMA CENPM RYBP CUL4A DHX38 ZFP91 E2F6 CENPI CENPK CENPA
WTAP,CBLL1 SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 METTL14 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 METTL3 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
COBLL1,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
ZC3H13,CBLL1 SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 METTL14 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 METTL3 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
VIRMA,CBLL1 SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 METTL14 ZC3H13 PLPPR3 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 METTL3 COBLL1 FBL CENPL RING1 BMI1 CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
PLPPR3,SMARCA5 NUP93 HSPA8 CENPB HSPA5 SUPT16H RACGAP1 ZC3H13 SRRT RSF1 DDB1 KIF23 SSRP1 RNF2 WTAP CENPC WDR11 CENPO SHCBP1 CENPH CENPU CBX8 COBLL1 FBL CENPL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK CENPA
CENPL,SMARCA5 ITGB3BP NUP93 H4C12 H4C6 HSPA8 H4C9 CENPB H4C13 HSPA5 H4C14 H2BC3 SUPT16H RACGAP1 CENPT ZC3H13 PLPPR3 SRRT H2AC1 CENPS H4C8 H4C5 H4C1 RSF1 HJURP DDB1 CENPP KIF23 SSRP1 RNF2 WTAP CENPC CENPQ WDR11 H4C3 CENPO SHCBP1 CENPH CENPU H4C11 CBX8 H4C2 CENPN COBLL1 H4C15 H4C4 FBL RING1 BMI1 VIRMA CENPM CUL4A DHX38 CBX3 ZFP91 CENPI CENPK H4-16 CENPA
